Rank,Order,Family,Species,Common names,GE Score,ED Score,EDGE Score,Conservation Attention,Region,Countries,Relevant Global Programme,IUCN Red List link
61,Pilosa,Bradypodidae,Bradypus torquatus,"Maned Sloth, Maned Three-toed Sloth",EN,25.33866497,5.350479552,Limited,Americas,Brazil,,http://www.iucnredlist.org/apps/redlist/details/3036/0
62,Chiroptera,Hipposideridae,Hipposideros lamottei,Lamotte's Roundleaf Bat,CR,11.8752596,5.327896332,None,Africa,Guinea,,http://www.iucnredlist.org/apps/redlist/details/10141/0
63,Cetacea,Phocoenidae,Phocoena sinus,"Vaquita, Cochito, Gulf Of California Harbour Porpoise, Gulf Of California Porpoise, Gulf Porpoise",CR,11.82671575,5.324118886,Limited,Americas,"Mexico (Baja California, Sonora)",Marine and Freshwater,http://www.iucnredlist.org/apps/redlist/details/17028/0
64,Primates,Atelidae,Oreonax flavicauda,"Peruvian Yellow-tailed Woolly Monkey, Yellow-tailed Woolly Monkey",CR,11.61379513,5.307379789,Limited,Americas,Peru,,http://www.iucnredlist.org/apps/redlist/details/39924/0
65,Primates,Indridae,Propithecus perrieri,"Perrier's Sifaka, Perrier's Sifaka",CR,11.59144115,5.305606032,Limited,Africa,Madagascar,,http://www.iucnredlist.org/apps/redlist/details/18361/0
66,Perissodactyla,Equidae,Equus africanus,African Wild Ass,CR,11.56736878,5.303692398,Active,Africa,Eritrea; Ethiopia; Somalia,,http://www.iucnredlist.org/apps/redlist/details/7949/0
67,Primates,Lorisidae,Loris tardigradus,"Red Slender Loris, Slender Loris",EN,23.67408268,5.28519495,Limited,Asia,Sri Lanka,,http://www.iucnredlist.org/details/12375/0
68,Rodentia,Caviidae,Cavia intermedia,Santa Catarina's Guinea Pig,CR,11.25459124,5.278489384,None,Americas,Brazil,,http://www.iucnredlist.org/apps/redlist/details/136520/0
69,Primates,Hominidae,Gorilla gorilla,"Lowland Gorilla, Western Gorilla",CR,11.21914344,5.275592579,Active,Africa,Angola (Cabinda); Cameroon; Central African Republic; Congo; Equatorial Guinea; Gabon; Nigeria,,http://www.iucnredlist.org/apps/redlist/details/9404/0
70,Sirenia,Trichechidae,Trichechus inunguis,"Amazonian Manatee, South American Manatee",VU,47.24796806,5.262648075,Limited,Americas,Brazil; Colombia; Ecuador; Peru,Marine and Freshwater,http://www.iucnredlist.org/apps/redlist/details/22102/0
71,Rodentia,Muridae,Nilopegamys plumbeus,"Ethiopian Amphibious Rat, Ethiopian Water Mouse",CR,11.02530903,5.259602237,None,Africa,Ethiopia,,http://www.iucnredlist.org/apps/redlist/details/40766/0
72,Artiodactyla,Tayassuidae,Catagonus wagneri,"Chacoan Peccary, Tagua",EN,22.66555597,5.243462198,Active,Americas,Argentina; Bolivia; Paraguay,,http://www.iucnredlist.org/apps/redlist/details/4015/0
73,Afrosoricida,Chrysochloridae,Neamblysomus gunningi,Gunning's Golden Mole,EN,22.35386779,5.230204156,None,Africa,South Africa,,http://www.iucnredlist.org/apps/redlist/details/1087/0
74,Cetacea,Balaenopteridae,Balaenoptera physalus,"Fin Whale, Common Rorqual, Fin-backed Whale, Finback, Finner, Herring Whale, Razorback",EN,22.24687411,5.225612218,Active,Global,Global,Marine and Freshwater,http://www.iucnredlist.org/apps/redlist/details/2478/0
75,Perissodactyla,Tapiridae,Tapirus pinchaque,"Mountain Tapir, Andean Tapir, Woolly Tapir",EN,22.14517275,5.22122778,Limited,Americas,Colombia; Ecuador; Peru,,http://www.iucnredlist.org/apps/redlist/details/21473/0
76,Cetacea,Balaenopteridae,Balaenoptera musculus,"Blue Whale, Pygmy Blue Whale, Sibbald's Rorqual, Sulphur-bottom Whale",EN,22.06062052,5.217567965,Active,Global,,Marine and Freshwater,http://www.iucnredlist.org/apps/redlist/details/2477/0
77,Rodentia,Nesomyidae,Dendromus kahuziensis,"Mount Kahuzi African Climbing Mouse, Mt. Kahuzi Climbing Mouse",CR,10.47272767,5.212561434,None,Africa,"Congo, The Democratic Republic of the",,http://www.iucnredlist.org/apps/redlist/details/6439/0
78,Afrosoricida,Chrysochloridae,Chrysospalax trevelyani,Giant Golden Mole,EN,21.90862527,5.210955031,None,Africa,South Africa,,http://www.iucnredlist.org/apps/redlist/details/4828/0
